测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(ms),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比,RS编码耗时(ms),RS解码耗时(ms),SHA256哈希耗时(ms),哈希验证耗时(ms),编解码总耗时(ms),吞吐量(MB/s)
"测试1: 小文件广播(1KB) [n=7,t=2]",1024,7,2,3,1143,968808,970418,968808,946.1015,40684,39.7304,34.0546,0.020,0.038,0.001,0.001,0.058,0.0007
"测试2: 中等文件广播(100KB) [n=7,t=2]",102400,7,2,3,1138,4433874,4435484,4433874,43.2995,4061932,39.6673,34.0005,0.297,0.357,0.044,0.045,0.654,0.0857
"测试3: 大文件广播(1MB) [n=7,t=2]",1048576,7,2,3,1143,36760488,36762028,36760488,35.0575,41593580,39.6667,34.0000,4.083,4.130,0.440,0.472,8.213,0.8748
"测试4: 文本文件广播 [n=7,t=2]",383893,7,2,3,1174,14030442,14031912,14030442,36.5477,15227821,39.6668,34.0001,1.188,1.834,0.162,0.171,3.022,0.3118
"测试5: 单节点故障容错(1MB) [n=7,t=2]",1048576,7,2,3,1169,26527681,26547119,26527681,25.2987,41593580,39.6667,34.0000,4.074,5.145,0.448,0.456,9.219,0.8554
"测试6: 2节点故障容错(100KB) [n=7,t=2,极限]",102400,7,2,3,1116,1905156,1913304,1905156,18.6050,4061932,39.6673,34.0005,1.098,0.646,0.169,0.044,1.744,0.0874
"测试7: 超大文件分块广播(20MB) [n=7,t=2]",20971520,7,2,3,1322,715776038,715777718,715776038,34.1308,831870326,39.6666,33.9999,92.224,100.362,10.214,9.120,192.586,15.1285
"测试8: 超大文件分块广播(50MB) [n=7,t=2]",52428800,7,2,3,3483,1786446506,1786448116,1786446506,34.0737,2079675766,39.6666,33.9999,263.873,254.128,25.632,23.283,518.001,14.3554
"测试9: 恶意节点-篡改分片(100KB) [n=7,t=2]",102400,7,2,3,1134,4500612,4502362,4500612,43.9512,4061932,39.6673,34.0005,0.332,18.542,0.044,0.045,18.874,0.0860
"测试10: 恶意节点-伪造哈希(100KB) [n=7,t=2]",102400,7,2,3,1177,4505100,4506850,4505100,43.9951,4061932,39.6673,34.0005,0.639,0.324,0.102,0.051,0.963,0.0829
"测试11: 恶意节点-选择性沉默(100KB) [n=7,t=2]",102400,7,2,3,1101,4009302,4010912,4009302,39.1533,4061932,39.6673,34.0005,0.614,1.060,0.076,0.147,1.674,0.0886
"测试12: 2个混合恶意节点(100KB) [n=7,t=2,BFT极限]",102400,7,2,3,1128,4431630,4433240,4431630,43.2776,4061932,39.6673,34.0005,0.991,16.351,0.166,0.046,17.342,0.0865
"测试13: 2个混合恶意节点(50MB) [n=7,t=2,BFT极限]",52428800,7,2,3,21212,1786762410,1786764020,1786762410,34.0797,2079675766,39.6666,33.9999,240.173,14846.681,27.994,23.334,15086.854,2.3571
